Dodavka; Platce; Nazev platce; Zuctovaci datum; Artikl; Nazev; Mnozstvi zaklad; Cena prodeje LM; Kurz prodeje LM/EUR; Cena nakup jedn EUR
PDL23115107; K07222; Lidl Česká republika s.r.o.; 05.02.24; 4203110; Majonéza klasik 800ml B8; 1728; 106220,16; 25,005; 20,48
PDL23115123; K06875; Velká Pecka s.r.o.; 05.02.24; 4200000; Rajčatový kečup jemný 1kg(875ml) B8; 24; 1512; 25,005; 17,76
PDL23115123; K06875; Velká Pecka s.r.o.; 05.02.24; 4200020; Rajčatový kečup jemný 342g B10; 20; 620; 25,005; 10,2
PDL23115123; K06875; Velká Pecka s.r.o.; 05.02.24; 4200150; Rajčatový kečup ostrý 455g B15; 15; 570; 25,005; 18
PDL23115123; K06875; Velká Pecka s.r.o.; 05.02.24; 4201000; Fazole 415g B24; 48; 1512; 25,005; 21,84
PDL23115123; K06875; Velká Pecka s.r.o.; 05.02.24; 4202140; BBQ Omáčka classic 400ml B10; 20; 926; 25,005; 13,8
PDL23115123; K06875; Velká Pecka s.r.o.; 05.02.24; 4202310; Worcesterová omáčka150ml B12; 24; 792; 25,005; 13,92
PDL23115123; K06875; Velká Pecka s.r.o.; 05.02.24; 4202510; Omáčka česneková 400ml B10; 10; 463; 25,005; 9,6
PDL23115123; K06875; Velká Pecka s.r.o.; 05.02.24; 4202700; BBQ Omáčka TD 220ml B8; 16; 528; 25,005; 8,48
PDL23115123; K06875; Velká Pecka s.r.o.; 05.02.24; 4202740; American Burger Omáčka TD 220ml B8; 8; 264; 25,005; 9,8
PDL23115123; K06875; Velká Pecka s.r.o.; 05.02.24; 4202760; Aioli omáčka 220 ml B8; 8; 264; 25,005; 9,8
PDL23115126; K02821; PENNY MARKET s.r.o.; 05.02.24; 4200030; Rajčatový kečup 450g B15; 2520; 68040; 25,005; 16,95
PDL23115126; K02821; PENNY MARKET s.r.o.; 05.02.24; 4200150; Rajčatový kečup ostrý 455g B15; 1260; 34020; 25,005; 18
PDL23115127; K06875; Velká Pecka s.r.o.; 05.02.24; 4200000; Rajčatový kečup jemný 1kg(875ml) B8; 48; 3024; 25,005; 17,76
PDL23115127; K06875; Velká Pecka s.r.o.; 05.02.24; 4200020; Rajčatový kečup jemný 342g B10; 30; 930; 25,005; 10,2
PDL23115127; K06875; Velká Pecka s.r.o.; 05.02.24; 4200070; Rajč. kečup 50% CS 550g(500ml)B10; 10; 460; 25,005; 14,3
PDL23115127; K06875; Velká Pecka s.r.o.; 05.02.24; 4200150; Rajčatový kečup ostrý 455g B15; 15; 570; 25,005; 18
PDL23115127; K06875; Velká Pecka s.r.o.; 05.02.24; 4201000; Fazole 415g B24; 168; 5292; 25,005; 21,84
PDL23115127; K06875; Velká Pecka s.r.o.; 05.02.24; 4201020; Fazole chilli 390g B12; 24; 804; 25,005; 12,12
PDL23115127; K06875; Velká Pecka s.r.o.; 05.02.24; 4201050; Fazole BBQ 390g B12; 36; 1206; 25,005; 12,48
PDL23115127; K06875; Velká Pecka s.r.o.; 05.02.24; 4202140; BBQ Omáčka classic 400ml B10; 30; 1389; 25,005; 13,8
PDL23115127; K06875; Velká Pecka s.r.o.; 05.02.24; 4202220; Sójová omáčka 150ml B12; 24; 792; 25,005; 13,68
PDL23115127; K06875; Velká Pecka s.r.o.; 05.02.24; 4202310; Worcesterová omáčka150ml B12; 48; 1584; 25,005; 13,92
PDL23115127; K06875; Velká Pecka s.r.o.; 05.02.24; 4202510; Omáčka česneková 400ml B10; 10; 463; 25,005; 9,6
PDL23115127; K06875; Velká Pecka s.r.o.; 05.02.24; 4202600; Omáčka hranolky 400ml B10; 10; 463; 25,005; 9,6
PDL23115127; K06875; Velká Pecka s.r.o.; 05.02.24; 4202700; BBQ Omáčka TD 220ml B8; 24; 792; 25,005; 8,48
PDL23115127; K06875; Velká Pecka s.r.o.; 05.02.24; 4202740; American Burger Omáčka TD 220ml B8; 8; 264; 25,005; 9,8
PDL23115127; K06875; Velká Pecka s.r.o.; 05.02.24; 4202750; Curry Mango omáčka 220ml B8; 8; 264; 25,005; 9,8
PDL23115128; K02821; PENNY MARKET s.r.o.; 05.02.24; 4200030; Rajčatový kečup 450g B15; 1260; 34020; 25,005; 16,95
PDL23115129; K06875; Velká Pecka s.r.o.; 05.02.24; 4200000; Rajčatový kečup jemný 1kg(875ml) B8; 80; 5040; 25,005; 17,76
PDL23115129; K06875; Velká Pecka s.r.o.; 05.02.24; 4200020; Rajčatový kečup jemný 342g B10; 80; 2480; 25,005; 10,2
PDL23115129; K06875; Velká Pecka s.r.o.; 05.02.24; 4200030; Rajčatový kečup 450g B15; 210; 7980; 25,005; 16,95
