Dodavka; Platce; Nazev platce; Zuctovaci datum; Artikl; Nazev; Mnozstvi zaklad; Cena prodeje LM; Kurz prodeje LM/EUR; Cena nakup jedn EUR
SPDL23106163; K50085; TESCO STORES SR a.s.; 05.02.24; 4200028; Rajčatový kečup jemný 342g B10; 290; 301,6; 1; 1,02
SPDL23106163; K50085; TESCO STORES SR a.s.; 05.02.24; 4200030; Rajčatový kečup 450g B15; 1260; 1600,2; 1; 1,13
SPDL23106165; K50086; BILLA s.r.o.; 05.02.24; 4200000; Rajčatový kečup jemný 1kg(875ml) B8; 120; 316,8; 1; 2,22
SPDL23106165; K50086; BILLA s.r.o.; 05.02.24; 4200018; Rajčatový kečup jemný570g(500ml)B12; 120; 186; 1; 1,36
SPDL23106165; K50086; BILLA s.r.o.; 05.02.24; 4200028; Rajčatový kečup jemný 342g B10; 280; 274,4; 1; 1,02
SPDL23106165; K50086; BILLA s.r.o.; 05.02.24; 4200060; Rajčatový kečup ostrý 570g B12; 72; 111,6; 1; 1,31
SPDL23106165; K50086; BILLA s.r.o.; 05.02.24; 4200070; Rajč. kečup 50% SS 550g(500ml)B10; 80; 124; 1; 1,43
SPDL23106165; K50086; BILLA s.r.o.; 05.02.24; 4201000; Fazole 415g B24; 72; 78,48; 1; 0,91
SPDL23106165; K50086; BILLA s.r.o.; 05.02.24; 4202520; Omáčka Sweet Chilli 220ml B8; 24; 31,68; 1; 1,09
SPDL23106165; K50086; BILLA s.r.o.; 05.02.24; 4202700; BBQ Omáčka TD 220ml B8; 56; 73,92; 1; 1,06
SPDL23106165; K50086; BILLA s.r.o.; 05.02.24; 4202720; 3 druhy pepře omáčka 220 ml B8; 200; 264; 1; 1,07
SPDL23106169; K50085; TESCO STORES SR a.s.; 05.02.24; 4202140; BBQ Omáčka classic 400ml B10; 40; 64; 1; 1,38
SPDL23106184; K50086; BILLA s.r.o.; 05.02.24; 4202510; Omáčka česneková 400ml B10; 60; 104,4; 1; 0,96
SPDL23106184; K50086; BILLA s.r.o.; 05.02.24; 4202600; Omáčka hranolky 400ml B10; 150; 261; 1; 0,96
SPDL23106185; K50085; TESCO STORES SR a.s.; 05.02.24; 4203090; Majonéza klasik 480ml B8; 8; 11,2; 1; 1,44
SPDL23106191; K50089; KAUFLAND Slovenská republika v.o.s.; 06.02.24; 4202190; Omáčka Burger 400ml B10; 360; 590,4; 1; 1,15
SPDL23106192; K50085; TESCO STORES SR a.s.; 05.02.24; 4203090; Majonéza klasik 480ml B8; 48; 67,2; 1; 1,44
SPDL23106195; K50085; TESCO STORES SR a.s.; 07.02.24; 4200000; Rajčatový kečup jemný 1kg(875ml) B8; 640; 1536; 1; 2,22
SPDL23106195; K50085; TESCO STORES SR a.s.; 07.02.24; 4200028; Rajčatový kečup jemný 342g B10; 290; 301,6; 1; 1,02
SPDL23106195; K50085; TESCO STORES SR a.s.; 07.02.24; 4201000; Fazole 415g B24; 1440; 1584; 1; 0,91
SPDL23106198; K50085; TESCO STORES SR a.s.; 07.02.24; 4202140; BBQ Omáčka classic 400ml B10; 170; 272; 1; 1,38
SPDL23106203; K50085; TESCO STORES SR a.s.; 07.02.24; 4202140; BBQ Omáčka classic 400ml B10; 30; 48; 1; 1,38
SPDL23106218; K50085; TESCO STORES SR a.s.; 07.02.24; 4203090; Majonéza klasik 480ml B8; 56; 78,4; 1; 1,44
SPDL23106219; K50085; TESCO STORES SR a.s.; 07.02.24; 4203090; Majonéza klasik 480ml B8; 280; 392; 1; 1,44
SPDL23106229; K50086; BILLA s.r.o.; 08.02.24; 4200000; Rajčatový kečup jemný 1kg(875ml) B8; 96; 253,44; 1; 2,22
SPDL23106229; K50086; BILLA s.r.o.; 08.02.24; 4200018; Rajčatový kečup jemný570g(500ml)B12; 204; 316,2; 1; 1,36
SPDL23106229; K50086; BILLA s.r.o.; 08.02.24; 4200028; Rajčatový kečup jemný 342g B10; 250; 245; 1; 1,02
SPDL23106229; K50086; BILLA s.r.o.; 08.02.24; 4200060; Rajčatový kečup ostrý 570g B12; 48; 74,4; 1; 1,31
SPDL23106229; K50086; BILLA s.r.o.; 08.02.24; 4200070; Rajč. kečup 50% SS 550g(500ml)B10; 120; 186; 1; 1,43
SPDL23106229; K50086; BILLA s.r.o.; 08.02.24; 4201000; Fazole 415g B24; 168; 183,12; 1; 0,91
SPDL23106229; K50086; BILLA s.r.o.; 08.02.24; 4202520; Omáčka Sweet Chilli 220ml B8; 80; 105,6; 1; 1,09
SPDL23106229; K50086; BILLA s.r.o.; 08.02.24; 4202700; BBQ Omáčka TD 220ml B8; 96; 126,72; 1; 1,06
SPDL23106229; K50086; BILLA s.r.o.; 08.02.24; 4202720; 3 druhy pepře omáčka 220 ml B8; 128; 168,96; 1; 1,07
SPDL23106230; K50086; BILLA s.r.o.; 08.02.24; 4202510; Omáčka česneková 400ml B10; 80; 139,2; 1; 0,96
SPDL23106230; K50086; BILLA s.r.o.; 08.02.24; 4202600; Omáčka hranolky 400ml B10; 100; 174; 1; 0,96
SPDL23106243; K50086; BILLA s.r.o.; 09.02.24; 4200000; Rajčatový kečup jemný 1kg(875ml) B8; 40; 105,6; 1; 2,22
SPDL23106243; K50086; BILLA s.r.o.; 09.02.24; 4200018; Rajčatový kečup jemný570g(500ml)B12; 48; 74,4; 1; 1,36
SPDL23106243; K50086; BILLA s.r.o.; 09.02.24; 4200028; Rajčatový kečup jemný 342g B10; 80; 78,4; 1; 1,02
SPDL23106243; K50086; BILLA s.r.o.; 09.02.24; 4200060; Rajčatový kečup ostrý 570g B12; 12; 18,6; 1; 1,31
SPDL23106243; K50086; BILLA s.r.o.; 09.02.24; 4200070; Rajč. kečup 50% SS 550g(500ml)B10; 60; 93; 1; 1,43
SPDL23106243; K50086; BILLA s.r.o.; 09.02.24; 4201000; Fazole 415g B24; 72; 78,48; 1; 0,91
SPDL23106243; K50086; BILLA s.r.o.; 09.02.24; 4202520; Omáčka Sweet Chilli 220ml B8; 8; 10,56; 1; 1,09
SPDL23106243; K50086; BILLA s.r.o.; 09.02.24; 4202700; BBQ Omáčka TD 220ml B8; 16; 21,12; 1; 1,06
SPDL23106243; K50086; BILLA s.r.o.; 09.02.24; 4202720; 3 druhy pepře omáčka 220 ml B8; 8; 10,56; 1; 1,07
SPDL23106244; K50089; KAUFLAND Slovenská republika v.o.s.; 09.02.24; 4200070; Rajč. kečup 50% SS 550g(500ml)B10; 1020; 1601,4; 1; 1,43
SPDL23106244; K50089; KAUFLAND Slovenská republika v.o.s.; 09.02.24; 4202510; Omáčka česneková 400ml B10; 1330; 2181,2; 1; 0,96
SPDL23106244; K50089; KAUFLAND Slovenská republika v.o.s.; 09.02.24; 4202600; Omáčka hranolky 400ml B10; 1330; 2181,2; 1; 0,96
SPDL23106248; K50086; BILLA s.r.o.; 09.02.24; 4202510; Omáčka česneková 400ml B10; 30; 52,2; 1; 0,96
SPDL23106248; K50086; BILLA s.r.o.; 09.02.24; 4202600; Omáčka hranolky 400ml B10; 50; 87; 1; 0,96
SPDL23106273; K50085; TESCO STORES SR a.s.; 12.02.24; 4202140; BBQ Omáčka classic 400ml B10; 40; 64; 1; 1,38
SPDL23106276; K50086; BILLA s.r.o.; 12.02.24; 4200000; Rajčatový kečup jemný 1kg(875ml) B8; 96; 253,44; 1; 2,22
SPDL23106276; K50086; BILLA s.r.o.; 12.02.24; 4200018; Rajčatový kečup jemný570g(500ml)B12; 108; 167,4; 1; 1,36
SPDL23106276; K50086; BILLA s.r.o.; 12.02.24; 4200028; Rajčatový kečup jemný 342g B10; 200; 196; 1; 1,02
SPDL23106276; K50086; BILLA s.r.o.; 12.02.24; 4200070; Rajč. kečup 50% SS 550g(500ml)B10; 50; 77,5; 1; 1,43
SPDL23106276; K50086; BILLA s.r.o.; 12.02.24; 4201000; Fazole 415g B24; 144; 156,96; 1; 0,91
SPDL23106276; K50086; BILLA s.r.o.; 12.02.24; 4201010; Fazole bez cukru 415g B24; 120; 130,8; 1; 1,04
SPDL23106276; K50086; BILLA s.r.o.; 12.02.24; 4202520; Omáčka Sweet Chilli 220ml B8; 8; 10,56; 1; 1,09
SPDL23106276; K50086; BILLA s.r.o.; 12.02.24; 4202700; BBQ Omáčka TD 220ml B8; 96; 126,72; 1; 1,06
SPDL23106276; K50086; BILLA s.r.o.; 12.02.24; 4202720; 3 druhy pepře omáčka 220 ml B8; 16; 21,12; 1; 1,07
SPDL23106277; K50085; TESCO STORES SR a.s.; 12.02.24; 4202140; BBQ Omáčka classic 400ml B10; 110; 176; 1; 1,38
SPDL23106280; K50085; TESCO STORES SR a.s.; 12.02.24; 4200000; Rajčatový kečup jemný 1kg(875ml) B8; 1920; 4608; 1; 2,22
SPDL23106290; K50086; BILLA s.r.o.; 12.02.24; 4202510; Omáčka česneková 400ml B10; 120; 208,8; 1; 0,96
SPDL23106290; K50086; BILLA s.r.o.; 12.02.24; 4202600; Omáčka hranolky 400ml B10; 50; 87; 1; 0,96
SPDL23106304; K50085; TESCO STORES SR a.s.; 14.02.24; 4202140; BBQ Omáčka classic 400ml B10; 50; 80; 1; 1,38
SPDL23106321; K50089; KAUFLAND Slovenská republika v.o.s.; 14.02.24; 4200010; Rajčatový kečup jemný570g(500ml)B12; 2448; 3892,32; 1; 1,36
SPDL23106321; K50089; KAUFLAND Slovenská republika v.o.s.; 14.02.24; 4202140; BBQ Omáčka classic 400ml B10; 1330; 2181,2; 1; 1,38
SPDL23106322; K50085; TESCO STORES SR a.s.; 14.02.24; 4200020; Rajčatový kečup jemný 342g B10; 290; 301,6; 1; 1,02
SPDL23106322; K50085; TESCO STORES SR a.s.; 14.02.24; 4200030; Rajčatový kečup 450g B15; 1260; 1600,2; 1; 1,13
SPDL23106322; K50085; TESCO STORES SR a.s.; 14.02.24; 4202150; BBQ Omáčka sladká 400ml B10; 190; 304; 1; 1,4
SPDL23106323; K50085; TESCO STORES SR a.s.; 14.02.24; 4202140; BBQ Omáčka classic 400ml B10; 190; 304; 1; 1,38
SPDL23106327; K50085; TESCO STORES SR a.s.; 14.02.24; 4203090; Majonéza klasik 480ml B8; 152; 212,8; 1; 1,44
SPDL23106335; K50086; BILLA s.r.o.; 15.02.24; 4202510; Omáčka česneková 400ml B10; 110; 191,4; 1; 0,96
SPDL23106335; K50086; BILLA s.r.o.; 15.02.24; 4202600; Omáčka hranolky 400ml B10; 120; 208,8; 1; 0,96
SPDL23106344; K50086; BILLA s.r.o.; 15.02.24; 4200000; Rajčatový kečup jemný 1kg(875ml) B8; 168; 443,52; 1; 2,22
SPDL23106344; K50086; BILLA s.r.o.; 15.02.24; 4200010; Rajčatový kečup jemný570g(500ml)B12; 1008; 1653,12; 1; 1,36
SPDL23106344; K50086; BILLA s.r.o.; 15.02.24; 4200020; Rajčatový kečup jemný 342g B10; 380; 372,4; 1; 1,02
SPDL23106344; K50086; BILLA s.r.o.; 15.02.24; 4200020; Rajčatový kečup jemný 342g B10; -380; 372,4; 1; 1,02
SPDL23106344; K50086; BILLA s.r.o.; 15.02.24; 4200060; Rajčatový kečup ostrý 570g B12; 180; 295,2; 1; 1,31
SPDL23106344; K50086; BILLA s.r.o.; 15.02.24; 4200070; Rajč. kečup 50% SS 550g(500ml)B10; 260; 426,4; 1; 1,43
SPDL23106344; K50086; BILLA s.r.o.; 15.02.24; 4201000; Fazole 415g B24; 216; 235,44; 1; 0,91
SPDL23106344; K50086; BILLA s.r.o.; 15.02.24; 4201010; Fazole bez cukru 415g B24; 240; 261,6; 1; 1,04
